Country,Area,Storks,Humans,BirthRate,GDP_per_capita
Albania,28750,100,3.2,83,3983
Austria,83860,300,7.6,87,26930
Belgium,30520,1,9.9,118,27412
Bulgaria,111000,5000,9,117,8922
Denmark,43100,9,5.1,59,29412
France,544000,140,56,774,28129
Germany,357000,3300,78,901,25391
Greece,132000,2500,10,106,15964
Holland,41900,4,15,188,27515
Hungary,93000,5000,11,124,10296
Italy,301280,5,57,551,26003
Poland,312680,30000,38,610,8150
Portugal,92390,1500,10,120,17256
Romania,237500,5000,23,367,5596
Spain,504750,8000,39,439,19215
Switzerland,41290,150,6.7,82,34250
Turkey,779450,25000,56,1576,8606